TrainingCenterDatabase,xsi:schemaLocation,xmlns:ns5,xmlns:ns3,xmlns:ns2,xmlns,xmlns:xsi,xmlns:ns4,Activities,Activity,Sport,Id,Lap,StartTime,TotalTimeSeconds,DistanceMeters,MaximumSpeed,Calories,AverageHeartRateBpm,Value,MaximumHeartRateBpm,Value,Intensity,TriggerMethod,Track,Trackpoint,Time,Position,LatitudeDegrees,LongitudeDegrees,AltitudeMeters,DistanceMeters,HeartRateBpm,Value,Extensions,ns3:TPX,ns3:Speed,ns3:RunCadence,ns3:Watts,Extensions,ns3:LX,ns3:AvgSpeed,ns3:AvgRunCadence,ns3:MaxRunCadence,ns3:AvgWatts,ns3:MaxWatts,Creator,xsi:type,Name,UnitId,ProductID,Version,VersionMajor,VersionMinor,BuildMajor,BuildMinor,Author,xsi:type,Name,Build,Version,VersionMajor,VersionMinor,BuildMajor,BuildMinor,LangID,PartNumber
,,,,,,,,,,,,,,,,,,,,,,,,,,2025-05-11T11:41:45.000Z,,43.69842748,-79.39654355,159.8000031,251.1799927,,127,,,3.405999899,84,341,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,2025-05-11T11:41:46.000Z,,43.69839555,-79.39653542,159.8000031,254.9199982,,127,,,3.405999899,84,340,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,2025-05-11T11:41:47.000Z,,43.69835607,-79.39652871,159.8000031,259.0499878,,127,,,3.414999962,84,340,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,2025-05-11T11:41:48.000Z,,43.69833034,-79.39651673,159.6000061,262.4599915,,127,,,3.461999893,84,348,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,2025-05-11T11:41:49.000Z,,43.69829488,-79.39651723,159.3999939,266.1300049,,128,,,3.507999897,84,355,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,2025-05-11T11:41:50.000Z,,43.69827233,-79.39650516,159.3999939,268.980011,,128,,,3.517999887,84,357,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,2025-05-11T11:41:51.000Z,,43.69824878,-79.39648873,159.3999939,272.4100037,,128,,,3.507999897,84,355,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,2025-05-11T11:41:52.000Z,,43.6982243,-79.39647842,159.3999939,275.8399963,,128,,,3.470999956,84,346,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,2025-05-11T11:41:53.000Z,,43.69820075,-79.39646132,159.6000061,279.269989,,129,,,3.470999956,84,346,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,2025-05-11T11:41:54.000Z,,43.69816471,-79.39644422,159.6000061,283.1499939,,129,,,3.470999956,84,347,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,2025-05-11T11:41:55.000Z,,43.69813814,-79.39642536,159.6000061,286.7200012,,129,,,3.470999956,84,346,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,2025-05-11T11:41:56.000Z,,43.69810352,-79.39640357,159.6000061,291.0799866,,129,,,3.49000001,83,349,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,2025-05-11T11:41:57.000Z,,43.69807444,-79.39637683,159.3999939,294.9299927,,130,,,3.49000001,83,351,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,2025-05-11T11:41:58.000Z,,43.69804686,-79.39635512,159.1999969,298.9599915,,130,,,3.52699995,83,358,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,2025-05-11T11:41:59.000Z,,43.69801685,-79.39632453,159.1999969,303.0599976,,130,,,3.536000013,84,361,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,2025-05-11T11:42:00.000Z,,43.69799196,-79.39630165,159.1999969,306.7200012,,130,,,3.555000067,84,362,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,2025-05-11T11:42:01.000Z,,43.69796581,-79.39628723,159.1999969,309.7399902,,131,,,3.573999882,84,367,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,2025-05-11T11:42:02.000Z,,43.69793572,-79.3962568,159.1999969,313.6000061,,131,,,3.573999882,84,365,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,2025-05-11T11:42:03.000Z,,43.6979047,-79.39625437,159.1999969,316.6900024,,131,,,3.582999945,83,365,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,2025-05-11T11:42:04.000Z,,43.69786539,-79.39624398,159,321.2200012,,131,,,3.573999882,83,361,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,2025-05-11T11:42:05.000Z,,43.69783103,-79.39623996,159,325.0799866,,132,,,3.592000008,83,361,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,2025-05-11T11:42:06.000Z,,43.69780621,-79.3962335,159,327.7099915,,132,,,3.611000061,84,363,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,2025-05-11T11:42:07.000Z,,43.69776959,-79.39622085,158.8000031,331.5599976,,132,,,3.611000061,84,359,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,2025-05-11T11:42:08.000Z,,43.6977353,-79.39622655,158.8000031,336.0499878,,132,,,3.611000061,83,361,,,,,,,,,,,,,,,,,,,,,,,,,,,,
